"action_type","type","id","visible","version","changeset","timestamp","user","uid","lat","lon"
"create","way","1427321868",TRUE,1,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"create","way","1427321869",TRUE,1,"171501552",2025-09-05 14:17:10,"multimob","14088321",NA,NA
"modify","node","2205925463",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057114","4.3929096"
"modify","node","2205925465",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057253","4.3929443"
"modify","node","2205925466",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057241","4.3928992"
"modify","node","2205925467",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057471","4.3927062"
"modify","node","2205925468",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057362","4.3929784"
"modify","node","2205925469",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057466","4.3930195"
"modify","node","2205925470",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057594","4.3930090"
"modify","node","2205925471",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057812","4.3928241"
"modify","node","2205925473",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2057940","4.3928135"
"modify","node","2205925475",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058030","4.3928527"
"modify","node","2205925477",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058139","4.3928868"
"modify","node","2205925478",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058295","4.3929234"
"modify","node","2205925481",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058653","4.3933799"
"modify","node","2205925483",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058781","4.3934148"
"modify","node","2205925484",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058873","4.3931514"
"modify","node","2205925485",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058890","4.3934489"
"modify","node","2205925486",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058979","4.3934832"
"modify","node","2205925487",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059003","4.3931408"
"modify","node","2205925488",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059113","4.3931815"
"modify","node","2205925489",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059097","4.3934737"
"modify","node","2205925490",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059227","4.3932613"
"modify","node","2205925491",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059222","4.3932156"
"modify","node","2205925492",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2059357","4.3932506"
"modify","node","2205925495",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2060006","4.3935262"
"modify","node","11511200193",TRUE,2,"171501552",2025-09-05 14:17:10,"multimob","14088321","51.2058771","4.3933704"
